line 0 	 1
line 1 	 2
line 2 	 4
line 3 	 8
line 4 	 16
line 5 	 32
line 6 	 64
line 7 	 128
line 8 	 256
line 9 	 512
line 10 	 1,024
line 11 	 2,048
line 12 	 4,096
line 13 	 8,192
line 14 	 16,384
line 15 	 32,768
line 16 	 65,536
line 17 	 131,072
line 18 	 262,144
line 19 	 524,288
line 20 	 1,048,576
line 21 	 2,097,152
line 22 	 4,194,304
line 23 	 8,388,608
line 24 	 16,777,216
line 25 	 33,554,432
line 26 	 67,108,864
line 27 	 134,217,728
line 28 	 268,435,456
line 29 	 536,870,912
line 30 	 1,073,741,824
line 31 	 2,147,483,648
line 32 	 4,294,967,296
line 33 	 8,589,934,592
line 34 	 17,179,869,184
line 35 	 34,359,738,368
line 36 	 68,719,476,736
line 37 	 137,438,953,472
line 38 	 274,877,906,944
line 39 	 549,755,813,888
line 40 	 1,099,511,627,776
line 41 	 2,199,023,255,552
line 42 	 4,398,046,511,104
line 43 	 8,796,093,022,208
line 44 	 17,592,186,044,416
line 45 	 35,184,372,088,832
line 46 	 70,368,744,177,664
line 47 	 140,737,488,355,328
line 48 	 281,474,976,710,656
line 49 	 562,949,953,421,312
line 50 	 1,125,899,906,842,620
line 51 	 2,251,799,813,685,250
line 52 	 4,503,599,627,370,500
line 53 	 9,007,199,254,740,990
line 54 	 18,014,398,509,482,000
line 55 	 36,028,797,018,964,000
line 56 	 72,057,594,037,927,900
line 57 	 144,115,188,075,856,000
line 58 	 288,230,376,151,712,000
line 59 	 576,460,752,303,423,000
line 60 	 1,152,921,504,606,850,000
line 61 	 2,305,843,009,213,690,000
line 62 	 4,611,686,018,427,390,000
line 63 	 9,223,372,036,854,780,000
